                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4157,                  2.379,                 1.4645,                0.16058,                0.36752,                 0.1545,                0.09486,                  1.448,                 8.1641,                 1.5508,             0.00051677,             0.00051677,             0.00051677
                      2,                 1.0421,                 0.9104,                 1.2302,                0.00597,                0.30796,                0.00494,                0.00133,                 3.0224,                    inf,                 9.6867,             0.00099822,             0.00099822,             0.00099822
                      3,                0.96052,                0.75058,                 1.1663,                 0.3525,                0.53528,                0.45827,                0.31396,                 1.2475,                 7.1577,                 1.5529,              0.0014269,              0.0014269,              0.0014269
                      4,                 1.0259,                0.79065,                  1.215,                0.67309,                0.17516,                0.15474,                0.10734,                 1.3841,                 4.4711,                 1.6012,              0.0014195,              0.0014195,              0.0014195
                      5,                0.94983,                0.69883,                 1.1792,                0.56813,                0.17959,                0.17128,                0.06246,                 3.0398,                 5.8775,                 3.5343,              0.0014195,              0.0014195,              0.0014195
                      6,                0.91268,                0.62954,                 1.1461,                0.93523,                0.20064,                0.25356,                0.16123,                 1.8376,                 2.4457,                 1.8758,              0.0013369,              0.0013369,              0.0013369
                      7,                0.88487,                0.60647,                 1.1481,                0.69155,                0.24873,                0.25958,                0.14961,                 1.9297,                 3.8566,                 1.9883,              0.0012544,              0.0012544,              0.0012544
                      8,                0.84539,                0.56956,                 1.1247,                0.92383,                0.89791,                0.89699,                0.65675,                0.96238,                0.62662,                 1.1959,              0.0011719,              0.0011719,              0.0011719
                      9,                0.86292,                0.55945,                 1.1306,                0.91438,                 0.9086,                0.89321,                 0.6547,                0.98988,                0.69513,                 1.2283,              0.0010894,              0.0010894,              0.0010894
                     10,                0.81794,                0.52639,                 1.0921,                 0.8648,                0.77771,                 0.7768,                0.55716,                0.92427,                0.60892,                 1.1551,              0.0010069,              0.0010069,              0.0010069
                     11,                0.74709,                0.45174,                 1.0967,                0.91038,                0.86444,                0.88558,                0.67467,                0.92452,                0.51799,                 1.1565,             0.00092435,             0.00092435,             0.00092435
                     12,                0.72049,                0.43095,                 1.0727,                0.91392,                0.91028,                0.93816,                0.69633,                0.95672,                0.51495,                 1.1902,             0.00084184,             0.00084184,             0.00084184
                     13,                0.71627,                0.41622,                 1.0668,                0.87655,                0.91178,                0.91695,                0.67603,                0.93375,                 0.5104,                 1.1572,             0.00075932,             0.00075932,             0.00075932
                     14,                 0.6862,                0.40466,                 1.0433,                0.90913,                0.85962,                0.87715,                0.66033,                0.89895,                0.47998,                 1.1394,              0.0006768,              0.0006768,              0.0006768
                     15,                 0.6609,                0.38096,                 1.0336,                0.93371,                0.89904,                0.91586,                0.71152,                0.89016,                0.44813,                 1.1273,             0.00059429,             0.00059429,             0.00059429
                     16,                0.64382,                0.36597,                 1.0179,                0.91045,                0.91178,                0.91532,                0.71958,                0.86186,                0.45075,                 1.1132,             0.00051177,             0.00051177,             0.00051177
                     17,                0.60572,                0.34319,                0.99596,                0.92234,                0.90901,                 0.9105,                0.71682,                0.85003,                0.41573,                 1.1181,             0.00042925,             0.00042925,             0.00042925
                     18,                0.59095,                0.32838,                0.99163,                0.91815,                 0.9068,                0.90238,                0.71815,                0.84208,                0.41662,                 1.1011,             0.00034674,             0.00034674,             0.00034674
                     19,                0.56277,                 0.3097,                0.97188,                0.92481,                0.89443,                0.90016,                0.71434,                0.85731,                0.42186,                 1.1111,             0.00026422,             0.00026422,             0.00026422
                     20,                 0.5465,                0.29979,                0.96117,                0.92026,                0.90541,                0.90178,                0.71919,                0.84923,                0.41874,                 1.1041,              0.0001817,              0.0001817,              0.0001817
